id,clienteId,marca,modelo,año,placa,color
vehicle-1759852203374rmmvzku5o,clients-1759762003123-21890207,Hiace 4,ASDF,2025,PPP999,Blanco
vehicle-1759852203374z6o0qzszb,clients-1759762003123-21890207,Hiace 5,ASDF,2025,PPP999,Blanco
vehicle-1759852203375qa3wc46el,clients-1759762003123-21890207,Hiace 6,ASDF,2025,PPP999,Blanco
vehicle-1759852203375vyi5b7800,clients-1759762003123-21890207,Hiace 9,ASDF,2025,PPP999,Blanco
vehicle-1759852203376e5oh6rky5,clients-1759762003123-21890207,Hiace 10,ASDF,2025,PPP999,Blanco
vehicle-1759852203376p35v21noj,clients-1759762003123-21890207,Hiace 11,ASDF,2025,PPP999,Blanco
vehicle-1759852203377raa8nkgqs,clients-1759762003123-21890207,Hiace 15,ASDF,2025,PPP999,Blanco
vehicle-1759852203377ry5ita0e4,clients-1759762003123-21890207,Hiace 20,ASDF,2025,PPP999,Blanco
vehicle-17598522033789umrxxsnn,clients-1759762003123-21890207,Hiace 23,ASDF,2025,PPP999,Blanco
vehicle-17598522033783ax8pzogg,clients-1759762003123-21890207,Hiace 27,ASDF,2025,PPP999,Blanco
vehicle-17598522033796kewestpr,clients-1759762003123-21890207,Hiace 28,ASDF,2025,PPP999,Blanco
vehicle-1759852203379mxy213czj,clients-1759762003123-21890207,Hiace 31,ASDF,2025,PPP999,Blanco
vehicle-1759852203380q2q207xys,clients-1759762003123-21890207,Hiace 32,ASDF,2025,PPP999,Blanco
vehicle-17598522033802biwumfn6,clients-1759762003123-21890207,Hiace 35,ASDF,2025,PPP999,Blanco
vehicle-1759852203381o9g96tevy,clients-1759762003123-21890207,Hiace 36,ASDF,2025,PPP999,Blanco
vehicle-1759852203381clm4nl9db,clients-1759762003123-21890207,Hiace 37,ASDF,2025,PPP999,Blanco
vehicle-1759852203382xufg7orpm,clients-1759762003123-21890207,Hiace 38,ASDF,2025,PPP999,Blanco
vehicle-17598522033822j52scyj5,clients-1759762003123-21890207,Hiace 39,ASDF,2025,PPP999,Blanco
vehicle-1759852203388km3m6156g,clients-1759762003123-21890207,Hiace 2,ASDF,2025,PPP999,Blanco
vehicle-1759852203388hllfifu96,clients-1759762003123-21890207,Hiace 4,ASDF,2025,PPP999,Blanco
vehicle-17598522033885z6aew7zr,clients-1759762003123-21890207,Hiace 5,ASDF,2025,PPP999,Blanco
vehicle-1759852203389c78iugc0m,clients-1759762003123-21890207,Hiace 6,ASDF,2025,PPP999,Blanco
vehicle-17598522033894no6yp8sf,clients-1759762003123-21890207,Hiace 9,ASDF,2025,PPP999,Blanco
vehicle-1759852203389qf7qdib03,clients-1759762003123-21890207,Hiace 10,ASDF,2025,PPP999,Blanco
vehicle-1759852203390o7m50mmcq,clients-1759762003123-21890207,Hiace 11,ASDF,2025,PPP999,Blanco
vehicle-175985220339030mueyofs,clients-1759762003123-21890207,Hiace 13,ASDF,2025,PPP999,Blanco
vehicle-1759852203390sh6ef0mr1,clients-1759762003123-21890207,Hiace 15,ASDF,2025,PPP999,Blanco
vehicle-17598522033910j39loxy2,clients-1759762003123-21890207,Hiace 20,ASDF,2025,PPP999,Blanco
